AdNetworkType,Placement,Impressions,Clicks,Ctr,Cost
AD_NETWORK,dsp-opera-exchange.yandex.ru,878,88,10.02,608.07
AD_NETWORK,dsp.yandex.ru,2287,102,4.46,424.45
AD_NETWORK,dsp-minimob-ww.yandex.ru,47,12,25.53,104.11
AD_NETWORK,dsp-webeye.yandex.ru,45,10,22.22,39.78
AD_NETWORK,dsp-mintagral.yandex.ru,1910,21,1.10,29.75
AD_NETWORK,com.fugo.wow,180,5,2.78,29.58
AD_NETWORK,dsp-unityads.yandex.ru,1088,13,1.19,18.92
AD_NETWORK,dsp-yeahmobi.yandex.ru,28,6,21.43,15.20
AD_NETWORK,dsp-inneractive.yandex.ru,13,3,23.08,14.32
AD_NETWORK,video.like,543,7,1.29,14.08
AD_NETWORK,com.outfit7.mytalkingtomfree,1,1,100.00,13.75
AD_NETWORK,com.block.juggle,32,3,9.38,13.59
AD_NETWORK,dsp-huawei.yandex.ru,42,2,4.76,13.30
SEARCH,Яндекс,214,3,1.40,10.12
AD_NETWORK,free.vpn.unblock.proxy.turbovpn,4,1,25.00,7.38
AD_NETWORK,game.yandex.ru,165,2,1.21,4.89
AD_NETWORK,con.hotspot.vpn.free.master,2,1,50.00,3.49
AD_NETWORK,com.orangeapps.piratetreasure,1,1,100.00,2.89
AD_NETWORK,akniga.org,1,0,0.00,0.00
AD_NETWORK,alpha.sticker.maker,7,0,0.00,0.00
AD_NETWORK,alternatio.org,1,0,0.00,0.00
AD_NETWORK,biblus.org,1,0,0.00,0.00
AD_NETWORK,book.in-book.club,4,0,0.00,0.00
AD_NETWORK,by.RTSR.a4robbery,1,0,0.00,0.00
AD_NETWORK,championat.com,2,0,0.00,0.00
AD_NETWORK,com.abi.cook.chill,4,0,0.00,0.00
AD_NETWORK,com.abi.dream.unpacking,4,0,0.00,0.00
AD_NETWORK,com.action.cute.cat.flip,1,0,0.00,0.00
AD_NETWORK,com.agedstudio.card.solitaire.klondike,1,0,0.00,0.00
AD_NETWORK,com.alexp.eyemix,9,0,0.00,0.00
AD_NETWORK,com.banana.jigsaw,10,0,0.00,0.00
AD_NETWORK,com.bigcake.android.mahjongmatch,12,0,0.00,0.00
AD_NETWORK,com.blockpuzzle.us.ios,2,0,0.00,0.00
AD_NETWORK,com.brainy.prankster.puzzle,5,0,0.00,0.00
AD_NETWORK,com.breakpoint.ficbook,1,0,0.00,0.00
AD_NETWORK,com.cdt.spronki.playground,14,0,0.00,0.00
AD_NETWORK,com.cdtg.ragdoll.playground,1,0,0.00,0.00
AD_NETWORK,com.coloring.color.number.ios,87,0,0.00,0.00
AD_NETWORK,com.craftsman.go,5,0,0.00,0.00
AD_NETWORK,com.Dendys.World.Survival.Game,2,0,0.00,0.00
AD_NETWORK,com.diguotech.mahjongmatch,8,0,0.00,0.00
AD_NETWORK,com.diy.phonecase.phonemaker,1,0,0.00,0.00
AD_NETWORK,com.easygames.race,1,0,0.00,0.00
AD_NETWORK,com.evrika.word.master.huawei,10,0,0.00,0.00
AD_NETWORK,com.fc.goods.sort.matching.puzzle.triplemaster,8,0,0.00,0.00
AD_NETWORK,com.fc.p.cp.jelly.mukbang.asmr.live.diy,1,0,0.00,0.00
AD_NETWORK,com.fcg.badmom.goodmom.rungames,1,0,0.00,0.00
AD_NETWORK,com.fingerlab.word.blockpuzzles,2,0,0.00,0.00
AD_NETWORK,com.flyingwhalegames.carout,3,0,0.00,0.00
AD_NETWORK,com.fungames.blockcraft,6,0,0.00,0.00
AD_NETWORK,com.gamovation.tileclub,2,0,0.00,0.00
AD_NETWORK,com.gergedan.trapgame,1,0,0.00,0.00
AD_NETWORK,com.gp.my.prison.escape.plan.simulator.game,8,0,0.00,0.00
AD_NETWORK,com.gp.tricky.puzzle.story,3,0,0.00,0.00
AD_NETWORK,com.gym.racegame,1,0,0.00,0.00
AD_NETWORK,com.heavenworld.huawei,1,0,0.00,0.00
AD_NETWORK,com.hitappsgames.wordsolitaire,7,0,0.00,0.00
AD_NETWORK,com.hookah.sandboxinspace,11,0,0.00,0.00
AD_NETWORK,com.hpcpj.slimecleaner,1,0,0.00,0.00
AD_NETWORK,com.ig.blades.slasher.fun,5,0,0.00,0.00
AD_NETWORK,com.ig.gecko.arrorws,2,0,0.00,0.00
AD_NETWORK,com.inspiredsquare.jupiter,2,0,0.00,0.00
AD_NETWORK,com.JindoBlu.OfflineGames,1,0,0.00,0.00
AD_NETWORK,com.kayac.park_master,2,0,0.00,0.00
AD_NETWORK,com.kayac.puppetmanoffroad,1,0,0.00,0.00
AD_NETWORK,com.kiloo.subwaysurf,4,0,0.00,0.00
AD_NETWORK,com.m.security.play5.simulationgame,2,0,0.00,0.00
AD_NETWORK,com.matchingham.flashback.tricky.riddles,2,0,0.00,0.00
AD_NETWORK,com.megajoy.lovestory68,1,0,0.00,0.00
AD_NETWORK,com.melemoe.aidomake,2,0,0.00,0.00
AD_NETWORK,com.miui.player,3,0,0.00,0.00
AD_NETWORK,com.mystery.hidden.objects.find.clue.puzzle.games.free,1,0,0.00,0.00
AD_NETWORK,com.net.accelerator,3,0,0.00,0.00
AD_NETWORK,com.oakever.tiletrip,4,0,0.00,0.00
AD_NETWORK,com.openmygame.games.android.fillwordsoffline,1,0,0.00,0.00
AD_NETWORK,com.openmygame.games.android.jigsawpuzzle,27,0,0.00,0.00
AD_NETWORK,com.openmygame.games.android.sudokumaster,4,0,0.00,0.00
AD_NETWORK,com.openmygame.games.android.wordpizza,26,0,0.00,0.00
AD_NETWORK,com.openmygame.games.android.wordsearchsea,8,0,0.00,0.00
AD_NETWORK,com.openmygame.magicwordsearch,13,0,0.00,0.00
AD_NETWORK,com.oreon.monsterdraft,1,0,0.00,0.00
AD_NETWORK,com.p.grus.mimo.land,5,0,0.00,0.00
AD_NETWORK,com.paint.bynumber,7,0,0.00,0.00
AD_NETWORK,com.paradyme.solarsmash,5,0,0.00,0.00
AD_NETWORK,com.picsart.studio,9,0,0.00,0.00
AD_NETWORK,com.pixel.art.coloring.color.number,72,0,0.00,0.00
AD_NETWORK,com.playflix.kick.breakragdoll.games,3,0,0.00,0.00
AD_NETWORK,com.playspare.mydreamschool,1,0,0.00,0.00
AD_NETWORK,com.playstrom.dop2,6,0,0.00,0.00
AD_NETWORK,com.prank.call.prison.funny.video,3,0,0.00,0.00
AD_NETWORK,com.radio.helloworld,1,0,0.00,0.00
AD_NETWORK,com.reachjunction.card.game.solitaire,5,0,0.00,0.00
AD_NETWORK,com.red.arrows.android,2,0,0.00,0.00
AD_NETWORK,com.rimashev.nextbot,3,0,0.00,0.00
AD_NETWORK,com.screw.pin.nuts.bolts.jam.puzzle,2,0,0.00,0.00
AD_NETWORK,com.screw3d.match.nuts.bolts.pin.jam.away.puzzle,1,0,0.00,0.00
AD_NETWORK,com.Slap.Tower.Troll.Parkour,1,0,0.00,0.00
AD_NETWORK,com.stickmanteleport.master,1,0,0.00,0.00
AD_NETWORK,com.supervpn.vpn.free.proxy,3,0,0.00,0.00
AD_NETWORK,com.tfv.draw.one.missing.partdop.puzzle.games,6,0,0.00,0.00
AD_NETWORK,com.uc.minigame.relax,1,0,0.00,0.00
AD_NETWORK,com.unicostudio.braintest,2,0,0.00,0.00
AD_NETWORK,com.vitastudio.mahjong,78,0,0.00,0.00
AD_NETWORK,com.vk.vkclient,1,0,0.00,0.00
AD_NETWORK,com.vkontakte.android,1,0,0.00,0.00
AD_NETWORK,com.vpn_tube.vpntube,4,0,0.00,0.00
AD_NETWORK,com.wemesh.android,1,0,0.00,0.00
AD_NETWORK,com.youmusic.magictiles,4,0,0.00,0.00
AD_NETWORK,com.YsoCorp.MobileRun,1,0,0.00,0.00
AD_NETWORK,com.zm.nuts,1,0,0.00,0.00
AD_NETWORK,csgo-guides.ru,3,0,0.00,0.00
AD_NETWORK,daily.easy.sudoku.puzzle.solver.free,3,0,0.00,0.00
AD_NETWORK,daily.number.match.free.puzzle,12,0,0.00,0.00
AD_NETWORK,deti-online.com,1,0,0.00,0.00
AD_NETWORK,disk.yandex.ru,1,0,0.00,0.00
AD_NETWORK,drug.vokrug,11,0,0.00,0.00
AD_NETWORK,dsp-betweenx.yandex.ru,4,0,0.00,0.00
AD_NETWORK,dsp-ironsource.yandex.ru,1,0,0.00,0.00
AD_NETWORK,dsp-xiaomi.yandex.ru,1,0,0.00,0.00
AD_NETWORK,dzen.ru,58,0,0.00,0.00
AD_NETWORK,easy.sudoku.puzzle.solver.free,1,0,0.00,0.00
AD_NETWORK,fanfics.me,1,0,0.00,0.00
AD_NETWORK,fi.twomenandadog.zombiecatchers,1,0,0.00,0.00
AD_NETWORK,ficbook.group,1,0,0.00,0.00
AD_NETWORK,find.out.hidden.objects.seek.puzzle.games.free,10,0,0.00,0.00
AD_NETWORK,freemod.ru,1,0,0.00,0.00
AD_NETWORK,games.yandex.ru,2,0,0.00,0.00
AD_NETWORK,gdz-raketa.ru,4,0,0.00,0.00
AD_NETWORK,gdz.ru,11,0,0.00,0.00
AD_NETWORK,gdz.top,1,0,0.00,0.00
AD_NETWORK,goroskop365.ru,1,0,0.00,0.00
AD_NETWORK,grill.sort.food.games.match.puzzle,2,0,0.00,0.00
AD_NETWORK,habr.com,1,0,0.00,0.00
AD_NETWORK,hidden.object.find.seek.search.mystery.puzzle.games.free,2,0,0.00,0.00
AD_NETWORK,ilibrary.ru,1,0,0.00,0.00
AD_NETWORK,images.yandex.ru,13,0,0.00,0.00
AD_NETWORK,io.supercent.bigslimemanyslime,1,0,0.00,0.00
AD_NETWORK,io.supercent.caketopia,2,0,0.00,0.00
AD_NETWORK,io.supercent.linkedcubic,14,0,0.00,0.00
AD_NETWORK,io.supercent.pizzaidle,8,0,0.00,0.00
AD_NETWORK,io.voodoo.paper2,7,0,0.00,0.00
AD_NETWORK,isla-de-muerta.com,1,0,0.00,0.00
AD_NETWORK,jigsaw.puzzle.free.games,3,0,0.00,0.00
AD_NETWORK,jigsaw.puzzle.game.banana,8,0,0.00,0.00
AD_NETWORK,joyreactor.cc,1,0,0.00,0.00
AD_NETWORK,jp.ne.ibis.ibispaintx.app,1,0,0.00,0.00
AD_NETWORK,kz.aybek.ubt,1,0,0.00,0.00
AD_NETWORK,libcat.ru,5,0,0.00,0.00
AD_NETWORK,livejournal.com,2,0,0.00,0.00
AD_NETWORK,m.images.yandex.ru,5,0,0.00,0.00
AD_NETWORK,m.knigavuhe.org,1,0,0.00,0.00
AD_NETWORK,m.video.yandex.ru,7,0,0.00,0.00
AD_NETWORK,mail.ru,7,0,0.00,0.00
AD_NETWORK,mail.yandex.ru,1,0,0.00,0.00
AD_NETWORK,mangabuff.ru,4,0,0.00,0.00
AD_NETWORK,math.puzzle.games.crossmath.number.puzzles.free,3,0,0.00,0.00
AD_NETWORK,mcpehub.org,2,0,0.00,0.00
AD_NETWORK,mir-fjentezi.ru,1,0,0.00,0.00
AD_NETWORK,mods-android.ru,2,0,0.00,0.00
AD_NETWORK,my.mail.ru,11,0,0.00,0.00
AD_NETWORK,mydoramalive.com,2,0,0.00,0.00
AD_NETWORK,myneuralnetworks.ru,1,0,0.00,0.00
AD_NETWORK,nekto.me,1,0,0.00,0.00
AD_NETWORK,net.wyvernware.whosthealien,3,0,0.00,0.00
AD_NETWORK,ok.ru,5,0,0.00,0.00
AD_NETWORK,ontvtime.ru,1,0,0.00,0.00
AD_NETWORK,pinkamuz.pro,1,0,0.00,0.00
AD_NETWORK,private.bibliboba.com,1,0,0.00,0.00
AD_NETWORK,progameguides.com,1,0,0.00,0.00
AD_NETWORK,puzzle.blockpuzzle.cube.relax,2,0,0.00,0.00
AD_NETWORK,puzzle.game.find.differences,1,0,0.00,0.00
AD_NETWORK,puzzle.yarn.fever.unravel.puzzle,7,0,0.00,0.00
AD_NETWORK,qfilms.ru,1,0,0.00,0.00
AD_NETWORK,raftgame.ru,1,0,0.00,0.00
AD_NETWORK,razlozhi.ru,1,0,0.00,0.00
AD_NETWORK,readli.net,2,0,0.00,0.00
AD_NETWORK,remanga.org,1,0,0.00,0.00
AD_NETWORK,ru.litres.android.readfree,1,0,0.00,0.00
AD_NETWORK,ru.yandex.mobile,1,0,0.00,0.00
AD_NETWORK,rus.hitmotop.com,5,0,0.00,0.00
AD_NETWORK,sdamgia.ru,3,0,0.00,0.00
AD_NETWORK,smotret.tv,1,0,0.00,0.00
AD_NETWORK,solitaire.spider.card.free.mania,1,0,0.00,0.00
AD_NETWORK,sorting.games.goods.sort.triple.match3d.puzzle.stuff,10,0,0.00,0.00
AD_NETWORK,soundka.net,1,0,0.00,0.00
AD_NETWORK,spider.classic.solitaire.card.pgmaker,2,0,0.00,0.00
AD_NETWORK,spider.solitaire.card.bgames,8,0,0.00,0.00
AD_NETWORK,tabsgame.ru,1,0,0.00,0.00
AD_NETWORK,televizorus.com,1,0,0.00,0.00
AD_NETWORK,themp3.info,1,0,0.00,0.00
AD_NETWORK,tile.master.connect.matching.game,1,0,0.00,0.00
AD_NETWORK,translate.yandex.ru,2,0,0.00,0.00
AD_NETWORK,trychatgpt.ru,1,0,0.00,0.00
AD_NETWORK,vb.topbook.me,1,0,0.00,0.00
AD_NETWORK,video.clip.call.fake.chat.message.prank,5,0,0.00,0.00
AD_NETWORK,video.yandex.ru,37,0,0.00,0.00
AD_NETWORK,win.mail.ru,4,0,0.00,0.00
AD_NETWORK,world-weather.ru,1,0,0.00,0.00
AD_NETWORK,ya.ru,2,0,0.00,0.00
AD_NETWORK,yummyani.me,1,0,0.00,0.00
