LocationOfPresenceName,Impressions,Clicks,Ctr,Cost
Махачкала,323,25,7.74,234.71
Нальчик,68,7,10.29,71.15
Владивосток,304,14,4.61,51.38
Иваново,27,3,11.11,39.37
Пермь,97,4,4.12,39.15
Петропавловск-Камчатский,80,7,8.75,32.45
Пенза,70,2,2.86,32.32
Грозный,128,6,4.69,25.87
Невинномысск,10,2,20.00,24.48
Ростов-на-Дону,89,5,5.62,23.39
Курск,24,2,8.33,23.34
Владикавказ,128,4,3.12,21.57
Калининград,36,2,5.56,21.39
Великий Новгород,16,2,12.50,21.25
Брянск,37,2,5.41,21.13
Батайск,4,2,50.00,20.93
Ширококарамышское сельское поселение,3,2,66.67,20.70
Тамбов,41,3,7.32,16.76
Южно-Сахалинск,150,3,2.00,16.38
Яблоновский,9,2,22.22,16.14
Воронеж,33,2,6.06,15.48
Краснодар,58,2,3.45,15.21
Сочи,21,1,4.76,14.39
Обнинск,10,2,20.00,14.37
Шумиха,2,1,50.00,14.06
Железногорск,10,1,10.00,13.71
Кисловодск,13,1,7.69,13.64
Самара,103,3,2.91,13.45
Тимофеевка,2,1,50.00,12.26
Энем,2,1,50.00,12.00
Хабаровск,179,4,2.23,10.89
Набережные Челны,24,1,4.17,10.85
Адыгейск,2,2,100.00,10.68
Чита,134,8,5.97,10.62
Ухта,78,3,3.85,10.44
Смоленск,24,3,12.50,10.42
Ижевск,45,3,6.67,10.38
Омск,25,2,8.00,9.87
Котлас,5,1,20.00,9.85
Томск,30,2,6.67,9.43
Якутск,187,5,2.67,9.14
Волжский,18,2,11.11,8.85
Терентьевское сельское поселение,1,1,100.00,8.85
Орёл,25,3,12.00,8.60
Конаково,14,1,7.14,8.47
Находка,47,2,4.26,8.42
Сургут,117,3,2.56,8.40
Исса,1,1,100.00,8.10
Михайловск,1,1,100.00,8.06
Воркута,21,2,9.52,8.03
Дмитровский городской округ,2,1,50.00,8.00
Екатеринбург,20,1,5.00,7.95
Шахты,22,1,4.55,7.53
Тольятти,21,1,4.76,7.48
Советский,6,1,16.67,7.47
Барнаул,83,3,3.61,6.77
Архангельск,39,2,5.13,6.60
Улан-Удэ,116,5,4.31,6.42
Абакан,25,2,8.00,6.12
Новосибирск,29,1,3.45,5.45
Йошкар-Ола,42,1,2.38,5.17
Серов,1,1,100.00,5.12
Большеберезниковское сельское поселение,8,2,25.00,5.09
Бийск,5,2,40.00,4.90
Сарс,1,1,100.00,4.52
Благовещенск,69,2,2.90,4.48
Михайловск,24,1,4.17,4.48
Челябинск,40,3,7.50,4.42
Тула,12,1,8.33,4.37
Ачинск,3,1,33.33,4.27
Казань,31,2,6.45,4.02
Алушта,1,1,100.00,3.89
Иркутск,178,2,1.12,3.81
Владимир,35,1,2.86,3.74
Липецк,55,2,3.64,3.69
Белгородская область,32,1,3.12,3.68
Североморск,11,1,9.09,3.68
Сыктывкар,59,1,1.69,3.56
Мирный,5,1,20.00,3.50
Ессентуки,96,1,1.04,3.20
Ульяновск,70,1,1.43,3.14
Кумертау,1,1,100.00,3.01
Георгиевск,11,1,9.09,2.99
Кемерово,44,2,4.55,2.90
Нижний Тагил,7,1,14.29,2.54
Детчино,2,1,50.00,2.53
Республика Крым,31,1,3.23,2.49
Бено-Юртовское сельское поселение,1,1,100.00,2.44
