LocationOfPresenceName,Impressions,Clicks,Ctr,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
Саратов,136,4,2.94,17.19,3,0,--,--
Тюмень,220,4,1.82,12.41,3,0,--,--
Новосибирск,208,2,0.96,11.57,2,0,--,--
Кострома,52,2,3.85,8.93,1,0,--,--
Ставрополь,199,4,2.01,8.90,2,0,--,--
Нальчик,184,2,1.09,8.74,2,0,--,--
Шадринск,19,1,5.26,8.60,0,0,--,--
Пермь,140,2,1.43,8.58,2,0,--,--
Тольятти,79,1,1.27,8.39,1,0,--,--
Сочи,26,1,3.85,8.04,0,0,--,--
Воронеж,57,2,3.51,7.47,1,0,--,--
Волгоград,93,1,1.08,7.40,1,0,--,--
Барнаул,179,2,1.12,6.64,2,0,--,--
Новозыбков,27,2,7.41,6.32,2,0,--,--
Рязань,23,1,4.35,6.08,1,0,--,--
Заброды,9,1,11.11,5.84,0,0,--,--
Иркутск,183,4,2.19,5.74,3,0,--,--
Саранск,62,2,3.23,5.72,0,0,--,--
Сернур,35,1,2.86,5.62,1,0,--,--
Волжский,70,2,2.86,5.36,0,0,--,--
Сургут,173,3,1.73,5.25,3,0,--,--
Куса,28,1,3.57,5.23,1,0,--,--
Краснодар,136,1,0.74,5.21,0,0,--,--
Таганрог,33,1,3.03,4.80,1,0,--,--
Жилгородок,1,1,100.00,4.76,1,0,--,--
Владимир,116,2,1.72,4.72,1,0,--,--
Канаш,4,1,25.00,4.68,1,0,--,--
Кемерово,249,2,0.80,4.61,2,0,--,--
Пивань,1,1,100.00,4.61,1,0,--,--
Оренбург,184,4,2.17,4.41,4,0,--,--
Клетская,6,1,16.67,4.37,1,0,--,--
Сольцы,8,1,12.50,4.30,1,0,--,--
Анжеро-Судженск,18,1,5.56,4.23,1,0,--,--
Баксаненок (сельское поселение),38,1,2.63,4.13,1,0,--,--
Махачкала,549,1,0.18,4.06,2,0,--,--
Владивосток,70,1,1.43,3.70,1,0,--,--
Смоленск,33,1,3.03,3.43,0,0,--,--
Челябинск,151,2,1.32,3.33,1,0,--,--
Нижний Новгород,128,1,0.78,3.26,1,0,--,--
Янино-1,1,1,100.00,3.22,0,0,--,--
Ульяновск,134,1,0.75,3.14,0,0,--,--
Леваши,20,1,5.00,3.02,1,0,--,--
Кунгур,38,1,2.63,2.98,1,0,--,--
Великий Новгород,34,1,2.94,2.84,1,0,--,--
село Кироваул (сельское поселение),3,1,33.33,2.82,1,0,--,--
Балтийск,39,1,2.56,2.77,1,0,--,--
Йошкар-Ола,104,1,0.96,2.73,1,0,--,--
Орск,14,1,7.14,2.57,1,0,--,--
Брянск,56,1,1.79,2.55,0,0,--,--
Боровичи,6,1,16.67,2.53,0,0,--,--
Посёлок Новокумский (сельское поселение),10,1,10.00,2.46,1,0,--,--
Колыванский район,16,1,6.25,2.44,0,0,--,--
Грозный,275,1,0.36,2.42,1,0,--,--
Уссурийск,32,1,3.12,2.26,1,0,--,--
Моршанск,5,1,20.00,2.19,1,0,--,--
Сыктывкар,94,1,1.06,2.16,1,0,--,--
Калининградская область,6,1,16.67,2.13,0,0,--,--
Камышлов,25,1,4.00,2.09,1,0,--,--
Борзя,2,1,50.00,2.07,1,0,--,--
Ижевск,222,1,0.45,1.95,0,0,--,--
Орёл,59,1,1.69,1.91,1,0,--,--
Знаменск,9,1,11.11,1.87,0,0,--,--
Восточный,2,1,50.00,1.83,1,0,--,--
Ачинск,25,1,4.00,1.72,1,0,--,--
Солодча,1,1,100.00,1.63,1,0,--,--
Яранск,14,1,7.14,1.55,1,0,--,--
Сибай,5,1,20.00,1.47,1,0,--,--
Изобильный,13,1,7.69,1.44,1,0,--,--
Якутск,104,1,0.96,1.36,1,0,--,--
Курск,63,1,1.59,1.35,1,0,--,--
Дербент,45,1,2.22,1.33,0,0,--,--
Таштып,2,1,50.00,1.30,1,0,--,--
Кавалерово,3,1,33.33,1.28,1,0,--,--
Тула,43,1,2.33,1.27,1,0,--,--
Новоключевской сельсовет,1,1,100.00,1.26,0,0,--,--
Прохладный,23,1,4.35,1.21,1,0,--,--
Яблоновский,11,1,9.09,1.21,0,0,--,--
Саянский,2,1,50.00,1.14,1,0,--,--
Усть-Кут,19,1,5.26,1.11,1,0,--,--
Дивногорск,25,1,4.00,0.99,0,0,--,--
Улан-Удэ,206,1,0.49,0.98,1,0,--,--
Баюновский сельсовет,7,1,14.29,0.91,0,0,--,--
Яя,7,1,14.29,0.88,0,0,--,--
Славгород,33,1,3.03,0.75,0,0,--,--
Иваново-Шамшевское сельское поселение,10,1,10.00,0.72,1,0,--,--
Ясный,13,1,7.69,0.66,0,0,--,--
Абаза,4,0,0.00,0.00,0,0,--,--
Абакан,46,0,0.00,0.00,0,0,--,--
Абан,9,0,0.00,0.00,0,0,--,--
Абдулино,3,0,0.00,0.00,0,0,--,--
Абинск,4,0,0.00,0.00,0,0,--,--
Августовка,3,0,0.00,0.00,0,0,--,--
Агаповка,1,0,0.00,0.00,0,0,--,--
Агинское,2,0,0.00,0.00,0,0,--,--
Агинское,10,0,0.00,0.00,0,0,--,--
Агой,3,0,0.00,0.00,0,0,--,--
Агрыз,6,0,0.00,0.00,0,0,--,--
Адамовка,1,0,0.00,0.00,0,0,--,--
Адыге-Хабль,1,0,0.00,0.00,0,0,--,--
Азнакаево,3,0,0.00,0.00,0,0,--,--
Азов,16,0,0.00,0.00,0,0,--,--
Азово,3,0,0.00,0.00,0,0,--,--
Айдаровское сельское поселение,1,0,0.00,0.00,0,0,--,--
Академический,1,0,0.00,0.00,0,0,--,--
Акбулак,1,0,0.00,0.00,0,0,--,--
Аксай,1,0,0.00,0.00,0,0,--,--
Аксай,5,0,0.00,0.00,0,0,--,--
Аксарка,1,0,0.00,0.00,0,0,--,--
Алабугинский сельсовет,2,0,0.00,0.00,0,0,--,--
Алагир,1,0,0.00,0.00,0,0,--,--
Алапаевск,1,0,0.00,0.00,0,0,--,--
Алатырь,17,0,0.00,0.00,0,0,--,--
Алеевский сельсовет,2,0,0.00,0.00,0,0,--,--
Алейск,3,0,0.00,0.00,0,0,--,--
Алейский район,3,0,0.00,0.00,0,0,--,--
Александрийская,1,0,0.00,0.00,0,0,--,--
Александро-Невский,1,0,0.00,0.00,0,0,--,--
Александров,1,0,0.00,0.00,0,0,--,--
Александровск,4,0,0.00,0.00,0,0,--,--
Александровское,1,0,0.00,0.00,0,0,--,--
Александровское сельское поселение,26,0,0.00,0.00,0,0,--,--
Алексашкинское сельское поселение,2,0,0.00,0.00,0,0,--,--
Алексеевка,1,0,0.00,0.00,0,0,--,--
Алексеевка,1,0,0.00,0.00,0,0,--,--
Алексеевская,1,0,0.00,0.00,0,0,--,--
Алексеевский район,2,0,0.00,0.00,0,0,--,--
Алексеевский сельсовет,3,0,0.00,0.00,0,0,--,--
Алешковский сельсовет,1,0,0.00,0.00,0,0,--,--
Алзамай,3,0,0.00,0.00,0,0,--,--
Аликовский район,10,0,0.00,0.00,0,0,--,--
Аликоновка,4,0,0.00,0.00,0,0,--,--
Алнаши,2,0,0.00,0.00,0,0,--,--
Алтайский край,1,0,0.00,0.00,0,0,--,--
Алтайский сельсовет,3,0,0.00,0.00,0,0,--,--
Алтайское,12,0,0.00,0.00,0,0,--,--
Алтуд,2,0,0.00,0.00,0,0,--,--
Алушта,1,0,0.00,0.00,0,0,--,--
Альметьевск,28,0,0.00,0.00,0,0,--,--
Амзя,4,0,0.00,0.00,0,0,--,--
Амурск,3,0,0.00,0.00,0,0,--,--
Амурское сельское поселение,9,0,0.00,0.00,0,0,--,--
Анапа,4,0,0.00,0.00,0,0,--,--
Анапская,5,0,0.00,0.00,0,0,--,--
Ангарск,51,0,0.00,0.00,0,0,--,--
Андрюшинское сельское поселение,1,0,0.00,0.00,0,0,--,--
Анива,3,0,0.00,0.00,0,0,--,--
Антипинский сельсовет,2,0,0.00,0.00,0,0,--,--
Антоньевский сельсовет,3,0,0.00,0.00,0,0,--,--
Апатиты,2,0,0.00,0.00,0,0,--,--
Апраксино,3,0,0.00,0.00,0,0,--,--
Апшеронский район,7,0,0.00,0.00,0,0,--,--
Арамиль,10,0,0.00,0.00,0,0,--,--
Арбажский район,4,0,0.00,0.00,0,0,--,--
Арбузовский сельсовет,2,0,0.00,0.00,0,0,--,--
Аргун,3,0,0.00,0.00,0,0,--,--
Ардатов,3,0,0.00,0.00,0,0,--,--
Ардон,8,0,0.00,0.00,0,0,--,--
Ардонь,2,0,0.00,0.00,0,0,--,--
Арзамас,9,0,0.00,0.00,0,0,--,--
Аркуль,7,0,0.00,0.00,0,0,--,--
Армавир,34,0,0.00,0.00,0,0,--,--
Аромашево,2,0,0.00,0.00,0,0,--,--
Арсеньев,9,0,0.00,0.00,0,0,--,--
Арск,5,0,0.00,0.00,0,0,--,--
Арти,3,0,0.00,0.00,0,0,--,--
Артыбашское сельское поселение,1,0,0.00,0.00,0,0,--,--
Артём,8,0,0.00,0.00,0,0,--,--
Артёмовский,5,0,0.00,0.00,0,0,--,--
Архангельск,75,0,0.00,0.00,0,0,--,--
Архангельский район,3,0,0.00,0.00,0,0,--,--
Архангельское,6,0,0.00,0.00,0,0,--,--
Архангельское сельское поселение,1,0,0.00,0.00,0,0,--,--
Архаринский район,5,0,0.00,0.00,0,0,--,--
Архипо-Осиповка,6,0,0.00,0.00,0,0,--,--
Архонское сельское поселение,13,0,0.00,0.00,0,0,--,--
Арья,1,0,0.00,0.00,0,0,--,--
Асбест,3,0,0.00,0.00,0,0,--,--
Асекеево,1,0,0.00,0.00,0,0,--,--
Асино,7,0,0.00,0.00,0,0,--,--
Аскарово,2,0,0.00,0.00,0,0,--,--
Аскиз,1,0,0.00,0.00,0,0,--,--
Аскино,1,0,0.00,0.00,0,0,--,--
Асовское сельское поселение,1,0,0.00,0.00,0,0,--,--
Астана,3,0,0.00,0.00,0,0,--,--
Астрахань,71,0,0.00,0.00,0,0,--,--
Атамановка,4,0,0.00,0.00,0,0,--,--
Аткарск,3,0,0.00,0.00,0,0,--,--
Афипский,2,0,0.00,0.00,0,0,--,--
Ахметовский сельсовет,1,0,0.00,0.00,0,0,--,--
Ахтубинск,11,0,0.00,0.00,0,0,--,--
Ахтубинский район,1,0,0.00,0.00,0,0,--,--
Ахтубинский сельсовет,18,0,0.00,0.00,0,0,--,--
Ахтырский,1,0,0.00,0.00,0,0,--,--
Ачит,5,0,0.00,0.00,0,0,--,--
